text,sentiment
"Does $SWRM now have a spaceport?

#space #SpaceX $TSLA #spaceport $TGHI

https://t.co/04ZJXwT6BN",0.0
"Elon is the best engineer who wears a suit. 
@elonmusk $TSLA",0.6369
"RT @FMossotto: Updated position of Tesla ships.

Explore the map on https://t.co/c5aMzLbKh2

Ships positions in the thread below.

$TSLA #T…",0.0
$TSLA Time to buy all calls or stock you can here for a move to 1250-1300 by days end..dont be fooled with these put buying comments,-0.3818
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
#Options Flow Stream Update $TSLA $MRNA $TLT $UPST $SPY $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/B7BWRcVOEf https://t.co/kX7coR38pc,0.0
"$DKNG Revenue was $212.8 million, a rise from $132.8 million in last year's third quarter. Analysts had been expecting revenue of $237 million.

$PENN $LVS $MGM $WYNN $ABNB $TSLA $GENI",0.0
"Few understand ⚡🚗

$TSLA 📈 @elonmusk @Tesla https://t.co/ev6ujfKcxG",0.0
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
$TSLA $AMD $NVDA #shorts are absolutely adorable. You dumbasses are hurting that bad on your puts huh?,-0.4033
@RealWillyBot I bought some lotto puts on $TSLA #LFG 🔥 https://t.co/ljQnVJL8Ww,-0.34
#Options Flow Stream Update $TSLA $MRNA $TLT $UPST $SPY $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/Jj64hrH1R3 https://t.co/sJM0Ye0awC,0.0
"RT @john__rosevear: By the way, I keep seeing snark from $TSLA fans around this. Note that GM responded to EV fires by recalling all the ca…",0.0
RT @TSLAFanMtl: I've been trying to understand if the $TSLA gamma squeeze happening now is running out of juice (which would in theory lead…,0.0
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
RT @virtuaI_self: DOGE COIN BITCOIN NFT SHIBA COIN $TSLA $BTC CRYPTO I NEED SOMEONE TO WRITE THIS ESSAY FOR ME I GOT HACKED CAN SOMEONE DO…,-0.5319
#tesla comin down in a hurry https://t.co/pz2PGYVFjh,0.0
#Options Flow Stream Update $TSLA $MRNA $TLT $UPST $SPY $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/6tTyHmKzOT,0.0
Wouldn't be surprised to see a big gamma unwind/momentum shift today for $TSLA. In some daily $1175P.,-0.1695
"$TSLA News w/$LCID feedback 

https://t.co/3OECAxtEg1",0.0
DOGE COIN BITCOIN NFT SHIBA COIN $TSLA $BTC CRYPTO I NEED SOMEONE TO WRITE THIS ESSAY FOR ME I GOT HACKED CAN SOMEONE DO MY HOMEWORK I DONT KNOW MY PASSWORD I LOST MY ACCOUNT,-0.6124
"RT @alexandrosM: People have been calling $TSLA a ""meme stock"", so I want to show you in a very simple way why I consider it to be anything…",0.1477
Aight now $TSLA WHAT IS YOU DOING BABYY,0.0
#Options Flow Stream Update $TSLA $MRNA $TLT $UPST $SPY $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/y2hKv8Vei7,0.0
"RT @garyblack00: “Maybe I should be going to a neutral position and matching Tesla’s slice of the index,” one portfolio manager mused. “I t…",0.0
"By the way, I keep seeing snark from $TSLA fans around this. Note that GM responded to EV fires by recalling all the cars and making a big push to find and correct the flaws.

Tesla responded to its EV fires by saying ""ICE cars burn too"".",0.0
"$VEEE @Lionmaster @Ultra_Calls this was one of your fav picks, has a news, canbe find by market as $TSLA sympathy!!!! 50-100% move is easy",0.8614
Added more 1209 $tsla,0.0
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
"$TSLA $1208.86, moving down -1.71% *NEW DAILY LOW*!!
#StockMarket #Stocks #investing https://t.co/ibC1XMHNNt",-0.5294
"$ABNB took nice profit and exited.  
$LCID still holding 
$AAPL holding, added few more
$TSLA sold at opening.  Nice gain for week. 
$SAVA Trying to breakout today.  Possible $100+ coming.  🙏 https://t.co/fLcnG2wTz6",0.8979
"""Feeling"" the #TSLA 60min &amp; 120mins chart, it's hinting a -5% to -10% DOWN...",0.128
"Tesla | $TSLA

TSLA Reversion to the Mean

Long or short it with BTC on Trade8: https://t.co/5SPvS47wiV https://t.co/YhSIzNjL8l",0.0
What’s up with $TSLA this morning? Any news?,0.0
"RT @warrior16win: $NXMH $3.45 🟢 float lock 🔒 no dilution 🔥ready to go ballistic 🚀 @NextMeats 👇🏼 Best #alternativefood on the planet 🌎 

#SP…",0.4588
$TSLA relative weakness today,-0.4215
Going there $TSLA https://t.co/Wqpn4t3dDV,0.0
God...gon head and make TSLA drop to $200 for me real quick.,-0.2732
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
"@BillyM2k doesn’t direct the #value of #dogecoin on ANY market. Even though I am #long @dogecoin, I’m also #long on: @Shibtoken #CRO $TACO, and $TSLA (as well as a bunch of others) I don’t yell at/bash/abuse @elonmusk when it dips. It’s part of understanding #volatility &amp; #risk",0.34
"VIX at 15, and super long term its range is 10 - 20
$TSLA at all time highs 

Short TSLA https://t.co/GrX17mT6Jl",0.5994
